tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Homa, Max",17538,T25,2,Plantation Course at Kapalua,656,73,1,10:00am,72,0.736,-0.149,-1.048,0.549,-0.648,0.088,280.2,0.933,0.722,0.5,,50.188,1,4
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Kang, Sung",7881,T25,4,Plantation Course at Kapalua,656,73,1,10:30am,74,-2.562,1.275,-0.265,0.522,1.533,-1.029,291.9,0.733,0.722,0.545,52.896,46.395,3,4
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Kang, Sung",7881,T25,3,Plantation Course at Kapalua,656,73,1,9:00am,73,0.947,-2.462,-0.744,1.405,-1.8,-0.853,288.5,0.867,0.722,0.5,,41.374,3,4
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Kang, Sung",7881,T25,2,Plantation Course at Kapalua,656,73,1,11:10am,73,0.513,-0.581,-1.861,1.017,-1.425,-0.912,284.9,0.867,0.667,0.5,,42.527,2,2
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Kang, Sung",7881,T25,1,Plantation Course at Kapalua,656,73,1,11:30am,72,-1.798,-0.487,1.195,0.796,1.504,-0.294,309.2,0.667,0.722,0.667,59.634,36.108,4,6
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Long, Adam",15473,T23,4,Plantation Course at Kapalua,656,73,1,10:00am,71,1.798,-0.699,0.305,0.566,0.173,1.971,280.5,0.8,0.667,0.7,,34.183,4,2
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Long, Adam",15473,T23,3,Plantation Course at Kapalua,656,73,1,9:00am,75,-1.046,1.114,-1.688,-1.234,-1.807,-2.853,276.1,0.867,0.611,0.5,95.917,35.453,2,4
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Long, Adam",15473,T23,2,Plantation Course at Kapalua,656,73,1,10:20am,71,0.306,1.347,0.029,-0.594,0.782,1.088,265.7,0.933,0.778,0.75,,47.486,1,1
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"Long, Adam",15473,T23,1,Plantation Course at Kapalua,656,73,1,10:30am,74,-1.384,0.509,1.262,-2.681,-0.91,-2.294,290.2,0.733,0.667,0.444,36.719,35.446,3,6
pga,2020,2020,2020-01-05,Sentry Tournament of Champions,16,"McDowell, Graeme",7548,T23,4,Plantation Course at Kapalua,656,73,1,10:10am,72,1.916,0.166,0.546,-1.658,-0.945,0.971,271.5,0.8,0.611,0.889,63.524,32.521,3,5
